,NO.,성우,연령,성별,상황키워드,감정_대분류,감정_소분류,사람문장1
0,F_000001,LSW,청소년,여성,학교폭력/따돌림,상처,"가난한, 불우한",우리 집이 잘 못산다는 것을 친구들이 알게 되었을 때 정말 억장이 무너지는 것 같았어.
1,F_000002,LSW,청소년,여성,학교폭력/따돌림,상처,"가난한, 불우한",학급비를 내지 못하고 있을 때 친구들에게 따돌림을 당할까봐 심장이 조마조마 했어.
2,F_000003,LSW,청소년,여성,학교폭력/따돌림,상처,"가난한, 불우한",부모님의 지갑을 보고 나니 체험학습 비 달라는 말을 못하겠어.
3,F_000004,LSW,청소년,여성,학교폭력/따돌림,상처,"가난한, 불우한",우리 집이 불우한 것이 친구들 사이에선 놀림거리로 여겨지고 있어.
4,F_000005,LSW,청소년,여성,학교폭력/따돌림,상처,"가난한, 불우한",내가 돈이 없는 것으로 인해 따돌림 당한다는 사실을 부모님이 알아버리셨어
5,F_000006,LSW,청소년,여성,학교폭력/따돌림,상처,"가난한, 불우한",친구 생일 파티 때 선물을 사줄 돈이 없어서 빈손으로 갔다가 애들에게 욕을 들었어.
6,F_000007,LSW,청소년,여성,학교폭력/따돌림,상처,"가난한, 불우한",아무리 가난한 것을 숨기려고 해도 반 아이들은 내 외모만 보고도 거지라고 놀려.
7,F_000008,LSW,청소년,여성,학교폭력/따돌림,상처,"가난한, 불우한",친구들과 어울리기 위해 예쁜 옷을 사고 싶다는 말이 목구멍까지 올라왔어.
8,F_000009,LSW,청소년,여성,학교폭력/따돌림,상처,"가난한, 불우한",나도 다른 친구들처럼 오리털 파카 입고 이 따돌림으로부터 벗어나고 싶어
9,F_000010,LSW,청소년,여성,학교폭력/따돌림,상처,"가난한, 불우한",부모님께서 힘들게 주신 용돈을 모두 무서운 애들에게 뺏기고 말았어.
10,F_000011,LSW,청소년,여성,학교폭력/따돌림,상처,"가난한, 불우한",나도 다른 애들에게 비난 받지 않도록 학급비를 제때 낼 수 있으면 좋겠어.
11,F_000012,LSW,청소년,여성,학교폭력/따돌림,상처,"가난한, 불우한",돈이 있다면 꼭 친구들과 함께 수학여행을 가고 싶어.
